code,name,desc,date
600511,国药股份,接近前低26.42 [今日放量✓],20260608
002589,瑞康医药,接近前低2.72 [今日放量✓],20260608
002299,圣农发展,接近前低15.77 [量趋势回升✓],20260608
000626,远大控股,接近前低7.3 [量趋势回升✓],20260608
000980,众泰汽车,接近前低2.38 [今日放量✓],20260608
603518,锦泓集团,接近前低8.17 [量趋势回升✓],20260608
002862,实丰文化,接近前低15.15 [量趋势回升✓],20260608
603659,璞泰来,接近前低26.12/26.57 [量趋势回升✓],20260608
002460,赣锋锂业,接近前低61.75/60.99 [量趋势回升✓],20260608
000049,德赛电池,接近前低23.17 [今日放量✓],20260608
000001,平安银行,接近前低11.05/10.92 [量趋势回升✓],20260608
600336,澳柯玛,接近前低6.98 [今日放量✓],20260608
002271,东方雨虹,接近前低11.93 [量趋势回升✓],20260608
603505,金石资源,接近前低17.49/17.41 [今日放量✓],20260608
000895,双汇发展,接近前低23.89 [今日放量✓],20260608
600305,恒顺醋业,接近前低6.81 [量趋势回升✓],20260608
002884,凌霄泵业,接近前低15.86/15.88 [今日放量✓],20260608
000810,创维数字,接近前低10.62/10.63 [今日放量✓],20260608
