symbol,name,income_2021,income_2022,income_2023,income_2024,income_2025
000682,东方电子,4485560201.59,5460252756.91,6478071293.63,7544804479.9,8377482887.4
000962,东方钽业,794733397.19,986217488.92,1108052896.04,1280600760.83,1543023263.06
000999,华润三九,15544401735.35,18079461482.75,24738963319.76,27616611772.61,31602577614.08
001210,金房能源,790322486.64,871021313.17,967724553.81,1072468715.99,1199174166.64
001280,中国铀业,8905952816.37,10535377401.69,14800866439.77,17278778327.18,19894032393.79
001288,运机集团,787952586.2,914482705.09,1053455897.21,1535924865.54,1786088210.7
001309,德明利,1079781478.82,1190656505.59,1775912799.26,4772546275.05,10789100246.68
001389,广合科技,2075543277.43,2412386842.49,2678270258.07,3734284609.8,5485371371.05
001393,维通利,0.0,1436775312.43,1698686202.53,2390378026.15,3126214040.18
002028,思源电气,8695335076.97,10537097608.15,12460028391.72,15458068522.4,21539031405.33
002050,三花智控,16020809805.52,21347549741.0,24557802066.59,27947164515.93,31011744510.27
002074,国轩高科,10356081191.76,23051701484.6,31605490020.32,35391817095.44,45070461822.87
002152,广电运通,6781835070.11,7526459530.75,9043275474.28,10866361487.45,12055138162.45
002237,恒邦股份,41382878466.59,50046776776.14,65577042044.04,75800749914.77,112394440038.95
002266,浙富控股,14153035991.24,16779792003.74,18950800571.07,20911943949.47,23213561891.65
002273,水晶光电,3809382068.35,4375513727.94,5076246217.02,6277688431.84,6928468248.87
002371,北方华创,9683478119.38,14688111969.67,22079458092.37,30074860164.89,39353112419.78
002409,雅克科技,3782309858.83,4259185610.35,4737773229.71,6862316073.26,8611469139.8
002468,申通快递,25254777113.8,33670693346.03,40923638519.97,47169493265.65,55586177412.27
002683,广东宏大,8526481342.3,10168841399.72,11607964045.71,13651865840.58,20369059705.04
002703,浙江世宝,1177915845.96,1386395566.38,1819442221.52,2693468867.27,3548952008.2
002716,湖南白银,1989359322.69,3393727067.71,5139090733.56,8313104638.16,12444621019.23
002768,国恩股份,9765988975.76,13406439368.86,17438778172.6,19219866050.92,21251230845.63
002837,英维克,2228220907.71,2923181920.56,3528859077.13,4588819487.27,6067759091.55
002850,科达利,4467580436.1,8653500006.27,10511360117.23,12029676315.84,15212979268.11
002851,麦格米特,4155737650.65,5477758610.38,6754241158.28,8172486420.33,9402840214.9
002891,中宠股份,2881552747.12,3247989088.68,3747202108.57,4464751586.93,5221469843.83
002895,川恒股份,2530099236.16,3447465372.18,4319508406.75,5905646993.4,8328106422.57
002906,华阳集团,4488269547.2,5637928549.3,7136862025.63,10157540114.37,13048170588.63
002920,德赛西威,9569434480.19,14932905788.5,21908002559.19,27618063792.47,32557178348.37
002922,伊戈尔,2230103076.67,2821093173.37,3630296402.59,4641916089.84,5263733523.65
002947,恒铭达,1130169487.23,1547759171.87,1818262223.79,2486211022.64,2857714112.47
002956,西麦食品,1153538924.78,1327240533.13,1577998810.04,1896127572.97,2239551091.99
002967,广电计量,2246952673.95,2604061218.24,2888906039.86,3206843016.46,3603407453.09
002965,祥鑫科技,2370773425.38,4289468316.52,5703204128.39,6744224014.49,7926843388.39
002976,瑞玛精密,754895110.48,1206168923.53,1577075986.71,1774337435.47,2109639931.86
002997,瑞鹄模具,1044710895.07,1167791672.82,1877029776.45,2424312176.16,3292241789.86
600212,绿能慧充,242799608.79,286402533.75,650472212.47,1015072033.82,1392147134.16
600301,华锡有色,394237264.05,2767056877.4,3200764432.12,4630939163.97,5802918064.9
600345,长江通信,109880458.29,632117531.98,695615887.22,923625498.84,1021510860.26
600406,国电南瑞,42411007392.46,46828962926.94,51655248318.66,57829172321.78,66228963223.21
600415,小商品城,6033842972.95,7619693742.6,11299686665.89,15737383922.24,19927252694.51
600460,士兰微,7194148249.93,8282201633.03,9339537962.75,11220869038.95,13051573759.84
600482,中国动力,34668705603.79,38280145315.05,45102804284.07,51696616588.62,57799963168.11
600547,山东黄金,33934960452.94,50305754258.45,59275274514.67,82517993538.3,104287391583.12
600660,福耀玻璃,23603063361.0,28098754166.0,33160996641.0,39251657267.0,45787435563.0
600901,江苏金租,3940592940.13,4346033227.54,4786842885.82,5278109069.64,6109215981.0
600930,华电新能,21740739368.0,24673344143.0,29580128992.0,33967750888.0,38980388748.0
600988,赤峰黄金,3782624088.21,6266787257.0,7220951536.26,9025821822.22,12638506229.12
601058,赛轮轮胎,17998428484.24,21902213873.16,25978259490.19,31802388102.78,36792433957.12
601126,四方股份,4298217520.75,5078494632.06,5751051476.34,6950934596.87,8193310113.95
601689,拓普集团,11462693679.86,15992821677.5,19700560430.0,26600328450.94,29581458675.27
603035,常熟汽饰,2623377283.62,3665672152.18,4598657325.97,5667097519.86,7109852627.96
603040,新坐标,432058571.87,526805234.71,583303603.15,680282123.88,804145932.68
603119,浙江荣泰,521616779.11,667475449.39,800255001.95,1134763595.78,1375754147.23
603150,万朗磁塑,1477453242.37,1709342645.72,2564204509.84,3383468721.66,4123540428.41
603173,福斯达,1446685202.96,1886006135.87,2155788850.03,2418875053.81,3002902194.41
603170,宝立食品,1577708989.53,2036783645.71,2369000730.8,2651208467.73,2933728038.28
603179,新泉股份,4612700001.17,6946694968.78,10571883599.87,13263789037.59,15524321623.38
