symbol,name,profits_2021,profits_2022,profits_2023,profits_2024,profits_2025
000423,东阿阿胶,440439963.6,779998116.1,1150878550.46,1557132327.91,1738741090.72
000554,泰山石油,8232074.44,11639713.8,34886564.34,99329469.15,154652880.62
000682,东方电子,347780352.43,438427400.58,541303704.72,683908676.75,911992429.9
000729,燕京啤酒,228011068.22,352261200.17,644714424.03,1055678539.28,1679117088.59
000758,中色股份,41452741.24,146760339.84,359126548.63,402313183.34,475537227.19
000791,甘肃能源,260746428.05,301855254.26,1171901565.76,1644208544.64,2051455116.11
000913,钱江摩托,237608009.89,415541289.18,464022361.44,676738050.81,977139657.81
000920,沃顿科技,121381996.33,144973542.69,164744450.47,197683033.96,220547443.32
000988,华工科技,760983179.01,905942377.81,1007476049.74,1220749895.79,1470794704.16
001221,悍高集团,164454940.05,205660179.28,332699374.68,531371102.41,703507797.2
001257,盛龙股份,0.0,343887467.86,619182340.5,756801759.69,883918343.8
001380,华纬科技,61896536.82,112694687.54,164071812.53,226417033.24,275083077.35
001389,广合科技,101091318.3,279651263.89,414685735.07,676100402.24,1015789038.65
001393,维通利,0.0,113919139.55,186629196.85,270988090.5,301176174.95
002074,国轩高科,101773908.78,311576431.81,938726847.76,1206790129.59,2383271938.21
002126,银轮股份,220374339.65,383282533.47,612142646.24,783525109.55,957243636.58
002130,沃尔核材,552709917.98,614623269.07,700483065.29,847550824.17,1143868383.15
002140,东华科技,248765130.88,288634429.71,343926312.91,410250060.43,532860214.84
002155,湖南黄金,363311573.62,439835000.94,489103372.6,846543591.1,1487994929.97
002170,芭田股份,80785717.26,121209517.35,259483313.95,409138117.74,911522715.02
002204,大连重工,115388873.1,288170149.99,363104519.62,497874357.37,583079439.56
002249,大洋电机,250385655.69,427092346.07,630263736.62,887549113.2,1082717150.84
002284,亚太股份,43903918.71,67922370.17,96953503.47,212931884.64,490129786.59
002315,焦点科技,245025889.35,300399006.04,378864573.68,451186149.5,503575870.32
002409,雅克科技,334750112.85,524754210.48,579480425.58,871582839.82,1000316537.26
002463,沪电股份,1063500828.0,1361574992.0,1512538227.0,2587236693.0,3822306272.0
002472,双环传动,326329133.99,582085021.77,816407328.54,1023911091.96,1261517918.31
002475,立讯精密,7070520386.57,9163104849.54,10952656702.16,13365651026.16,16599769785.64
002517,恺英网络,576727607.06,1025231546.09,1461713259.53,1628471564.05,1903626612.4
002595,豪迈科技,1053175373.42,1200107796.25,1612088152.0,2011422999.24,2393328872.7
002779,中坚科技,12499679.17,27381501.8,48093586.71,64669582.4,172568792.18
002823,凯中精密,12743769.61,24784723.94,76718600.89,170110812.62,233598490.52
002837,英维克,205047595.71,280282938.05,344006335.07,452664369.42,521914773.0
002847,盐津铺子,150740130.62,301481301.3,505773918.21,639945878.04,748413603.64
002850,科达利,541611743.45,899719932.55,1200845519.7,1471628215.48,1764029997.16
002906,华阳集团,298623567.82,380458427.92,464817853.79,651364940.38,781606516.73
002920,德赛西威,832922008.36,1184600637.9,1546735979.88,2004875279.7,2453584767.75
002946,新乳业,312256960.19,361228987.83,430826458.9,537690940.06,731146914.29
002947,恒铭达,31264033.24,193398646.16,281389362.75,456854970.9,531919355.42
002997,瑞鹄模具,115228905.73,140028025.8,202260837.16,350318467.99,391820868.38
003010,若羽臣,29195137.6,33736009.23,54290476.45,105636160.83,194401347.96
600066,宇通客车,613785285.74,759140760.22,1817084152.22,4116194422.5,5554481970.9
600114,东睦股份,27193400.38,155737810.57,197916738.4,397004238.67,535770128.1
600237,铜峰电子,50855184.69,73952742.72,86745811.91,95735341.38,119899335.77
600262,北方股份,93189248.02,118793533.89,141714208.21,178909240.21,215478303.98
600301,华锡有色,53712814.38,218652973.36,350388929.99,657741089.22,800774077.14
600428,中远海特,300327167.59,821342873.3,1064255173.13,1530587671.58,1779972016.0
600459,贵研铂业,330994783.53,407018378.15,468308885.6,579487446.96,640541452.89
600489,中金黄金,1697836680.83,1895412635.13,2977855387.68,3385988472.81,4933582739.46
600573,惠泉啤酒,31031788.65,39848285.09,48533680.86,64830194.19,79990456.49
600660,福耀玻璃,3146167091.0,4755595541.0,5629256054.0,7497976123.0,9312304150.0
600710,苏美达,767069994.77,912845648.5,1028147266.28,1148353191.28,1355624122.88
600901,江苏金租,2072453335.57,2411578298.7,2660087234.85,2942743496.11,3240544113.38
600926,杭州银行,9261019000.0,11679330000.0,14383367000.0,16982563000.0,19029250000.0
600961,株冶集团,163920069.49,492924716.24,611154633.09,786535418.67,1125228980.31
601126,四方股份,451886948.9,543214264.81,627206305.37,715587644.14,828970422.18
601128,常熟银行,2188079000.0,2743731000.0,3281502000.0,3813258000.0,4219369000.0
601179,中国西电,544102869.34,619072763.94,897173311.76,1054152468.03,1269679596.14
601665,齐鲁银行,3035644000.0,3587370000.0,4233751000.0,4986289000.0,5713492000.0
601890,亚星锚链,121174759.82,149021570.99,236509497.59,281933226.85,317429467.85
603040,新坐标,140759989.91,155760548.86,184382827.95,211605056.95,266854073.17
603119,浙江荣泰,104280511.18,133772226.35,171802278.87,230249414.19,278380063.24
603129,春风动力,411522357.03,701366297.51,1007519139.18,1471761328.04,1675371241.24
603269,海鸥股份,52934179.54,73752320.4,84819641.79,95913059.4,115679716.34
603293,埃泰克,0.0,91703411.75,190704499.97,212043202.11,248397925.22
