symbol,stock_name
000799,酒鬼酒
000858,五粮液
000963,华东医药
603939,益丰药房
000538,云南白药
002821,凯莱英
600519,贵州茅台
600585,海螺水泥
600779,水井坊
002572,索菲亚
000333,美的集团
002918,蒙娜丽莎
603517,绝味食品
300454,深信服
600276,恒瑞医药
000869,张裕A
600809,山西汾酒
002965,祥鑫科技
688670,金迪克
603986,兆易创新
603345,安井食品
300751,迈为股份
600600,青岛啤酒
600436,片仔癀
600570,恒生电子
300628,亿联网络
000568,泸州老窖
603919,金徽酒
000625,长安汽车
601888,中国中免
000596,古井贡酒
601318,中国平安
300418,昆仑万维
002304,洋河股份
601066,中信建投
002460,赣锋锂业
000860,顺鑫农业
002594,比亚迪
002271,东方雨虹
002410,广联达
000661,长春高新
002714,牧原股份
601633,长城汽车
603288,海天味业
600763,通策医疗
002415,海康威视
600559,老白干酒
600702,舍得酒业
