code,name,desc,date
600257,大湖股份,接近前低4.95/4.93 [量能未见底⚠] [过滤:量能未见底⚠],20260610
603259,药明康德,接近前低93.27 [量趋势回升✓] [过滤:价格分位偏高(62%)⚠],20260610
002299,圣农发展,接近前低15.61/15.77 [量能未见底⚠] [过滤:量能未见底⚠],20260610
000626,远大控股,接近前低6.93 [量趋势回升✓],20260610
000980,众泰汽车,接近前低2.27 [今日放量✓],20260610
603518,锦泓集团,接近前低8.17 [量能未见底⚠] [过滤:量能未见底⚠],20260610
603127,昭衍新药,接近前低31.4/31.51 [量能未见底⚠] [过滤:量能未见底⚠],20260610
002862,实丰文化,接近前低15.15 [量能未见底⚠] [过滤:量能未见底⚠],20260610
002049,紫光国微,接近前低71.85/71.92 [量能未见底⚠] [过滤:量能未见底⚠],20260610
000066,中国长城,接近前低15.84/15.82 [今日放量✓] [过滤:价格分位偏高(55%)⚠],20260610
600300,维维股份,接近前低3.02 [量能未见底⚠] [过滤:量能未见底⚠],20260610
002415,海康威视,接近前低30.31/29.84/30.09/30.0 [量能未见底⚠] [过滤:价格分位偏高(59%)⚠ | 量能未见底⚠],20260610
600336,澳柯玛,接近前低6.89/6.98 [量能未见底⚠] [过滤:量能未见底⚠],20260610
002271,东方雨虹,接近前低11.93 [量能未见底⚠] [过滤:量能未见底⚠],20260610
002600,领益智造,接近前低13.86 [量能未见底⚠] [过滤:量能未见底⚠],20260610
603505,金石资源,接近前低16.89 [量趋势回升✓],20260610
000895,双汇发展,接近前低23.89 [量能未见底⚠] [过滤:量能未见底⚠],20260610
600660,福耀玻璃,接近前低52.6/52.08/52.95 [量能未见底⚠] [过滤:量能未见底⚠],20260610
600305,恒顺醋业,接近前低6.81 [量能未见底⚠] [过滤:量能未见底⚠],20260610
002884,凌霄泵业,接近前低15.75/15.86/15.88 [今日放量✓],20260610
000810,创维数字,接近前低10.11 [量趋势回升✓],20260610
600496,精工钢构,接近前低3.79 [量能未见底⚠] [过滤:量能未见底⚠],20260610
