code,name,desc,date
600257,大湖股份,接近前低5.97 [量趋势回升✓],20260514
002367,康力电梯,接近前低5.97 [量趋势回升✓],20260514
600420,国药现代,接近前低9.39/9.45 [量趋势回升✓],20260514
600511,国药股份,接近前低27.92/27.99 [量能未见底⚠],20260514
002589,瑞康医药,接近前低3.05 [量能未见底⚠],20260514
000157,中联重科,接近前低7.67/7.57 [量趋势回升✓],20260514
600779,水井坊,接近前低31.81 [量趋势回升✓],20260514
000799,酒鬼酒,接近前低42.19/41.88 [量趋势回升✓],20260514
002422,科伦药业,接近前低31.43/31.35/31.45/31.13 [量能未见底⚠],20260514
603027,千禾味业,接近前低8.43/8.48 [量能未见底⚠],20260514
600763,通策医疗,接近前低39.68/39.73/40.02 [量趋势回升✓],20260514
603129,春风动力,接近前低249.23 [量趋势回升✓],20260514
000538,云南白药,接近前低50.98 [量能未见底⚠],20260514
600529,山东药玻,接近前低17.84 [量趋势回升✓],20260514
603787,新日股份,接近前低11.5 [量能未见底⚠],20260514
601398,工商银行,接近前低7.15/7.14 [量趋势回升✓],20260514
002714,牧原股份,接近前低41.7 [量趋势回升✓],20260514
002012,凯恩股份,接近前低6.93 [量趋势回升✓],20260514
000895,双汇发展,接近前低26.46 [量能未见底⚠],20260514
600585,海螺水泥,接近前低20.9 [量能未见底⚠],20260514
600660,福耀玻璃,接近前低57.01 [量趋势回升✓],20260514
600305,恒顺醋业,接近前低7.39 [量趋势回升✓],20260514
000401,冀东水泥,接近前低4.03 [量能未见底⚠],20260514
000876,新 希 望,接近前低8.45 [量能未见底⚠],20260514
603288,海天味业,接近前低37.36/37.34/37.01 [量能未见底⚠],20260514
002456,欧菲光,接近前低8.83 [量趋势回升✓],20260514
