symbol,stock_name
000014,沙河股份
000023,深天地A
000027,深圳能源
000028,国药一致
000035,中国天楹
000042,中洲控股
000050,深天马A
000056,皇庭国际
000059,华锦股份
000065,北方国际
000078,海王生物
000088,盐田港
000099,中信海直
000159,国际实业
000403,派林生物
000407,胜利股份
000411,英特集团
000417,合肥百货
000421,南京公用
000430,张家界
000510,新金路
000514,渝开发
000518,四环生物
000521,长虹美菱
000528,柳工
000529,广弘控股
000532,华金资本
000539,粤电力A
000541,佛山照明
000543,皖能电力
000544,中原环保
000547,航天发展
000550,江铃汽车
000561,烽火电子
000563,陕国投A
000582,北部湾港
000586,汇源通信
000593,德龙汇能
000597,东北制药
000603,盛达资源
000610,西安旅游
000629,攀钢钒钛
000639,西王食品
000661,长春高新
000668,荣丰控股
000671,阳光城
000680,山推股份
000686,东北证券
000690,宝新能源
000691,亚太实业
000695,滨海能源
000698,沈阳化工
000705,浙江震元
000712,锦龙股份
000719,中原传媒
000720,新能泰山
000725,京东方A
000735,罗牛山
000759,中百集团
000783,长江证券
000797,中国武夷
000800,一汽解放
000803,北清环能
000815,美利云
000833,粤桂股份
000837,秦川机床
000850,华茂股份
000875,吉电股份
000880,潍柴重机
000883,湖北能源
000886,海南高速
000899,赣能股份
000910,大亚圣象
000911,南宁糖业
000922,佳电股份
000923,河钢资源
000930,中粮科技
000931,中关村
000938,紫光股份
000948,南天信息
000949,新乡化纤
000950,重药控股
000953,河化股份
000955,欣龙控股
000960,锡业股份
000967,盈峰环境
000969,安泰科技
000973,佛塑科技
000987,越秀金控
000990,诚志股份
000997,新大陆
001914,招商积余
001979,招商蛇口
002004,华邦健康
002007,华兰生物
002012,凯恩股份
002016,世荣兆业
002023,海特高新
002040,南京港
002045,国光电器
002066,瑞泰科技
002081,金螳螂
002082,万邦德
002087,新野纺织
002124,天邦股份
002130,沃尔核材
002134,天津普林
002140,东华科技
002146,荣盛发展
002152,广电运通
002155,湖南黄金
002162,悦心健康
002165,红宝丽
002167,东方锆业
002198,嘉应制药
002212,天融信
002214,大立科技
002218,拓日新能
002221,东华能源
002228,合兴包装
002234,民和股份
002239,奥特佳
002242,九阳股份
002243,力合科创
002252,上海莱士
002256,兆新股份
002263,大东南
002266,浙富控股
002272,川润股份
002283,天润工业
002300,太阳电缆
002307,北新路桥
002312,川发龙蟒
002324,普利特
002328,新朋股份
002330,得利斯
002335,科华数据
002360,同德化工
002367,康力电梯
002404,嘉欣丝绸
002408,齐翔腾达
002414,高德红外
002416,爱施德
002419,天虹股份
002422,科伦药业
002428,云南锗业
002439,启明星辰
002452,长高电新
002455,百川股份
002489,浙江永强
002493,荣盛石化
002498,汉缆股份
002511,中顺洁柔
002524,光正眼科
002532,天山铝业
002534,西子洁能
002538,司尔特
002543,万和电气
002559,亚威股份
002567,唐人神
002588,史丹利
002598,山东章鼓
002605,姚记科技
002614,奥佳华
002632,道明光学
002641,公元股份
002644,佛慈制药
002649,博彦科技
002650,加加食品
002655,共达电声
002661,克明食品
002667,鞍重股份
002683,广东宏大
002693,双成药业
002695,煌上煌
002697,红旗连锁
002698,博实股份
002701,奥瑞金
002705,新宝股份
002706,良信股份
002723,金莱特
002737,葵花药业
002741,光华科技
002746,仙坛股份
002758,浙农股份
002777,久远银海
002829,星网宇达
002837,英维克
002838,道恩股份
002840,华统股份
002857,三晖电气
002908,德生科技
002916,深南电路
002919,名臣健康
002923,润都股份
002929,润建股份
002930,宏川智慧
002935,天奥电子
002937,兴瑞科技
002938,鹏鼎控股
600006,东风汽车
600008,首创环保
600010,包钢股份
600021,上海电力
600027,华电国际
600029,南方航空
600035,楚天高速
600066,宇通客车
600070,浙江富润
600077,宋都股份
600082,海泰发展
600095,湘财股份
600097,开创国际
600098,广州发展
600099,林海股份
600109,国金证券
600125,铁龙物流
600133,东湖高新
600143,金发科技
600148,长春一东
600152,维科技术
600159,大龙地产
600184,光电股份
600201,生物股份
600203,福日电子
600207,安彩高科
600211,西藏药业
600213,亚星客车
600217,中再资环
600219,南山铝业
600222,太龙药业
600230,沧州大化
600231,凌钢股份
600234,科新发展
600261,阳光照明
600272,开开实业
600276,恒瑞医药
600277,亿利洁能
600278,东方创业
600282,南钢股份
600288,大恒科技
600308,华泰股份
600335,国机汽车
600337,美克家居
600345,长江通信
600354,敦煌种业
600362,江西铜业
600375,汉马科技
600376,首开股份
600391,航发科技
600403,大有能源
600420,国药现代
600421,华嵘控股
600425,青松建化
600428,中远海特
600435,北方导航
600455,博通股份
600467,好当家
600468,百利电气
600478,科力远
600488,天药股份
600491,龙元建设
600500,中化国际
600501,航天晨光
600517,国网英大
600527,江南高纤
600529,山东药玻
600533,栖霞建设
600538,国发股份
600539,狮头股份
600540,新赛股份
600551,时代出版
600558,大西洋
600560,金自天正
600570,恒生电子
600592,龙溪股份
600603,广汇物流
600643,爱建集团
600645,中源协和
600658,电子城
600665,天地源
600675,中华企业
600683,京投发展
600688,上海石化
600693,东百集团
600698,湖南天雁
600699,均胜电子
600704,物产中大
600705,中航产融
600713,南京医药
600722,金牛化工
600725,云维股份
600728,佳都科技
600731,湖南海利
600737,中粮糖业
600739,辽宁成大
600740,山西焦化
600744,华银电力
600749,西藏旅游
600757,长江传媒
600763,通策医疗
600778,友好集团
600780,通宝能源
600784,鲁银投资
600787,中储股份
600792,云煤能源
600794,保税科技
600798,宁波海运
600820,隧道股份
600821,金开新能
600823,世茂股份
600834,申通地铁
600837,海通证券
600841,动力新科
600847,万里股份
600850,电科数字
600858,银座股份
600866,星湖科技
600869,远东股份
600872,中炬高新
600874,创业环保
600875,东方电气
600895,张江高科
600898,国美通讯
600903,贵州燃气
600980,北矿科技
600997,开滦股份
600999,招商证券
601003,柳钢股份
601006,大秦铁路
601066,中信建投
601069,西部黄金
601128,常熟银行
601137,博威合金
601139,深圳燃气
601158,重庆水务
601186,中国铁建
601336,新华保险
601377,兴业证券
601390,中国中铁
601618,中国中冶
601628,中国人寿
601688,华泰证券
601881,中国银河
601890,亚星锚链
601908,京运通
601919,中远海控
601933,永辉超市
603002,宏昌电子
603025,大豪科技
603026,石大胜华
603027,千禾味业
603035,常熟汽饰
603043,广州酒家
603078,江化微
603100,川仪股份
603131,上海沪工
603185,上机数控
603187,海容冷链
603197,保隆科技
603208,江山欧派
603222,济民医疗
603260,合盛硅业
603298,杭叉集团
603303,得邦照明
603329,上海雅仕
603338,浙江鼎力
603357,设计总院
603360,百傲化学
603365,水星家纺
603386,广东骏亚
603517,绝味食品
603519,立霸股份
603535,嘉诚国际
603558,健盛集团
603585,苏利股份
603601,再升科技
603636,南威软件
603639,海利尔
603663,三祥新材
603703,盛洋科技
603733,仙鹤股份
603737,三棵树
603809,豪能股份
603939,益丰药房
603968,醋化股份
603986,兆易创新
