code,name,income_2017,income_2018,income_2019,income_2020,income_2021
000001,平安银行,105786.0,116716.0,137958.0,153542.0,169383.0
600820,隧道股份,31526.4377,37266.241,43623.6802,54006.2469,62226.14
600809,山西汾酒,6037.4817,9381.9379,11880.0733,13989.8049,19970.9863
600845,宝信软件,4775.7795,5471.1029,6849.0434,9517.763,11759.3615
600873,梅花生物,11132.1611,12648.0458,14553.5475,17049.5145,22836.8903
000593,德龙汇能,485.5897,630.9649,1037.9575,1275.4347,1507.4987
600805,悦达投资,1525.1823,2085.4007,2581.8129,3025.6377,3886.9388
600876,洛阳玻璃,367.0471,1402.7482,1854.8422,3045.6149,3605.6020000000003
600874,创业环保,2148.341,2447.515,2851.453,3363.8740000000003,4535.579000000001
000690,宝新能源,2514.8721,3834.2916,5626.8233,7159.6722,9410.6485
000598,兴蓉环境,3731.3389,4159.65,4838.025,5370.6143,6732.3616
600732,爱旭股份,45.9253,156.7176,6069.2372,9663.7438,15470.5027
000425,徐工机械,29131.1046,44410.0056,59175.9989,73968.1486,84327.5792
600793,宜宾纸业,1157.9648,1292.7985,1601.1889999999999,1866.5351,2116.919
600789,鲁抗医药,2599.2889,3329.6048,3732.7189,4205.1091,4890.6726
000628,高新发展,572.6086,953.2409,3310.8715,5533.0788,6611.7968
600894,广日股份,4808.7654,5463.0096,6121.8915,6773.4406,7766.848000000001
000700,模塑科技,4340.1498,4965.6474,5489.5281,6124.4526,7389.8711
000656,金科股份,34757.6231,41233.6764,67773.3745,87704.41,112309.6711
600773,西藏城投,964.8522,1176.9557,1343.82,1863.8215,2514.4578
600784,鲁银投资,1553.098,1984.2028,2262.4608,2539.9587,3019.9251
000661,长春高新,4102.2616,5374.9947,7373.7013,8576.6007,10746.7173
600763,通策医疗,1179.7278,1546.0435,1894.2183,2087.8649,2780.7254
000876,新希望,62566.8486,69063.2253,82050.5395,109825.2244,126261.7026
000799,酒鬼酒,878.3314,1186.8839,1511.9028,1826.1717,3414.3654
000069,华侨城A,42341.2247,48142.3432,60025.0272,81868.0901,102583.6509
600057,厦门象屿,203290.6343,234007.56600000002,272411.6816,360214.7835,462516.2301
600111,北方稀土,10203.9754,13954.719,18091.7993,21245.9254,30408.3962
000498,山东路桥,12384.7298,14768.3827,23260.4769,34437.327000000005,57522.2903
000062,深圳华强,8297.8809,11799.7166,14355.2837,16330.9831,22840.5817
600095,湘财股份,222.5663,299.4046,459.4938,730.8666,2548.2736
600882,妙可蓝多,981.9981,1225.6899,1744.3491,2846.8072,4478.3056
000858,五粮液,30186.7804,40030.1896,50118.1059,57321.0595,66209.0536
600170,上海建工,142082.6386,170545.7831,205496.7078,231327.232,281055.468
600153,建发股份,218601.579,280381.7907,337238.6726,432949.4875,707844.4959999999
600183,生益科技,10751.5541,11981.0817,13241.0852,14687.3415,20274.263
600707,彩虹股份,452.8093,1929.2562,5860.0614,10447.9764,15173.6296
600206,有研新材,4079.6206,4767.9076,10452.4541,12969.038999999999,16058.6092
000938,紫光股份,39071.0409,48305.7859,54099.0577,59704.8944,67637.5385
000948,南天信息,2315.8098,2779.8032,3303.3674,4239.4382,5592.709
000950,重药控股,23044.6007,25802.7392,33843.8215,45219.5708,62520.7553
000090,天健集团,6749.5936,10209.4841,14665.2886,17124.7079,23269.3319
000906,浙商中拓,48407.0854,63293.8101,73463.914,108976.5286,178270.1588
600383,金地集团,37332.2095,50311.8175,63084.2102,83656.711,98934.9157
600298,安琪酵母,5775.7282,6685.6007,7652.7546,8933.0358,10675.333
600378,昊华科技,526.8575,4181.8289,4700.6861,5422.2648,7424.3541
600233,圆通速递,19982.201,27465.1445,31151.121,34907.0416,45154.9536
600008,首创环保,9285.4684,12455.363000000001,14907.2736,19224.6036,22232.592999999997
600323,瀚蓝环境,4202.0807,4848.4948,6160.0311,7481.4355,11776.5148
600519,贵州茅台,58217.8613,73638.8724,85429.5735,94915.3809,106190.1548
600528,中铁工业,15885.5861,17897.8637,20575.1317,24291.8108,27157.1687
