code,name,profits_2017,profits_2018,profits_2019,profits_2020,profits_2021
600822,上海物贸,32.4759,44.0826,61.4214,114.5341,147.7162
000507,珠海港,140.608,168.7868,221.9743,262.91200000000003,445.8996
000032,深桑达A,26.3712,107.0174,133.9519,149.0277,362.2319
600809,山西汾酒,944.1017,1466.7337,1938.5055,3079.2337,5313.611999999999
000026,飞亚达,140.2163,183.8351,215.90900000000002,294.1152,387.8403
600845,宝信软件,425.2761,669.1249,879.3422,1300.6216,1818.8352
000009,中国宝安,133.2038,213.7806,301.1363,661.7614,1035.5991
000568,泸州老窖,2557.9446,3485.643,4641.9889,6005.7231,7955.5544
000049,德赛电池,300.5356,401.37,502.1798,669.6922,793.7654
000532,华金资本,48.2848,54.6693,70.8214,162.9614,192.9723
600875,东方电气,673.0791,1128.8342,1277.6718,1861.9982,2289.0368
600644,乐山电力,42.8563,80.8946,89.2349,102.5353,117.6136
600600,青岛啤酒,1263.0172,1422.1997,1852.1034,2201.3236,3155.4558
600295,鄂尔多斯,520.9664,923.3676,1340.8722,1528.1277,6090.8187
000403,派林生物,38.3079,79.9828,160.44799999999998,185.9653,391.064
000708,中信特钢,394.9007,510.1785,5386.4718,6024.4904,7952.6001
600783,鲁信创投,43.1507,186.9217,224.0936,334.9699,509.1595
600774,汉商集团,16.4667,19.5666,29.871,45.4862,85.6791
000661,长春高新,661.9488,1006.4954,1775.0092,3046.5861,3757.473
000682,东方电子,63.5177,171.101,247.0854,278.143,347.7804
000799,酒鬼酒,176.0987,222.6788,299.4957,491.6083,893.4892
600099,林海股份,1.9269999999999998,2.6478,5.7991,7.7228,9.514
600727,鲁北化工,78.4485,94.0748,164.6159,230.8313,493.1062
000733,振华科技,203.6269,258.9574,297.6131,605.5694,1490.9585
000880,潍柴重机,23.506,41.5655,83.6755,109.6858,136.7829
000739,普洛药业,256.5921,370.5668,553.4008,816.7301,955.5502
600063,皖维高新,85.2535,130.1034,384.9819,611.2203,982.1255
600882,妙可蓝多,4.2786,10.6406,19.2299,59.258,154.4285
000858,五粮液,9673.7215,13384.2467,17402.1642,19954.8096,23377.0744
000850,华茂股份,104.0335,118.6712,197.6965,222.2165,480.7089
600131,国网信通,80.0224,102.8513,486.9783,606.8651,677.0930000000001
600155,华创阳安,130.9246,149.461,260.4189,658.3349,968.3379
600702,舍得酒业,143.5721,341.7776,507.9103,581.1352,1245.6545
600206,有研新材,43.5615,78.9678,105.9443,170.2905,238.7602
000090,天健集团,601.6212,781.5777,1236.1938,1486.1763,1933.3572
600285,羚锐制药,217.1122,243.2638,294.437,325.4893,361.5427
000977,浪潮信息,427.5308,658.5979,928.7472,1466.4486,2002.7384
600038,中直股份,455.3764,510.3306,588.2156,757.6781,913.2115
600008,首创环保,612.0088,719.4064,958.3891,1470.3186,2287.4695
600519,贵州茅台,27079.3603,35203.6253,41206.471,46697.2854,52460.1444
600346,恒力石化,1719.3305,3322.6109,10025.1791,13461.7857,15531.0767
600456,宝钛股份,21.4836,141.0922,240.0106,362.6564,560.2797
600050,中国联通,425.8447,4080.7717,4982.0837,5521.3115,6305.4658
600436,片仔癀,807.0187,1142.9329,1374.3768,1671.5187,2431.4547
600039,四川路桥,1064.1341,1171.7349,1701.8638,3025.2203,5582.0693
600459,贵研铂业,119.32799999999999,157.1445,232.2583,326.1231,387.126
600251,冠农股份,85.0735,94.6128,169.6928,246.9853,301.3485
002028,思源电气,249.1912,294.6247,557.5643,933.3289,1197.6696
