symbol,stock_name
000002,万科A
000008,神州高铁
000009,中国宝安
000010,美丽生态
000011,深物业A
000012,南玻A
000016,深康佳A
000019,深粮控股
000020,深华发A
000021,深科技
000025,特力A
000026,飞亚达
000027,深圳能源
000028,国药一致
000030,富奥股份
000032,深桑达A
000035,中国天楹
000037,深南电A
000039,中集集团
000042,中洲控股
000045,深纺织A
000048,京基智农
000049,德赛电池
000050,深天马A
000056,皇庭国际
000059,华锦股份
000060,中金岭南
000061,农产品
000062,深圳华强
000063,中兴通讯
000065,北方国际
000068,华控赛格
000070,特发信息
000088,盐田港
000090,天健集团
000099,中信海直
000100,TCL科技
000153,丰原药业
000156,华数传媒
000157,中联重科
000159,国际实业
000166,申万宏源
000301,东方盛虹
000333,美的集团
000338,潍柴动力
000400,许继电气
000401,冀东水泥
000403,派林生物
000404,长虹华意
000408,藏格矿业
000410,沈阳机床
000411,英特集团
000415,渤海租赁
000419,通程控股
000421,南京公用
000422,湖北宜化
000425,徐工机械
000428,华天酒店
000430,张家界
000498,山东路桥
000503,国新健康
000504,南华生物
000505,京粮控股
000507,珠海港
000510,新金路
000514,渝开发
000517,荣安地产
000519,中兵红箭
000520,长航凤凰
000523,广州浪奇
000526,学大教育
000528,柳工
000529,广弘控股
000531,穗恒运A
000532,华金资本
000534,万泽股份
000537,广宇发展
000538,云南白药
000541,佛山照明
000544,中原环保
000546,金圆股份
000548,湖南投资
000550,江铃汽车
000551,创元科技
000552,甘肃能化
000554,泰山石油
000555,神州信息
000557,西部创业
000559,万向钱潮
000561,烽火电子
000563,陕国投A
000566,海南海药
000567,海德股份
000568,泸州老窖
000570,苏常柴A
000573,粤宏远A
000576,甘化科工
000581,威孚高科
000582,北部湾港
000586,汇源通信
000589,贵州轮胎
000590,启迪药业
000591,太阳能
000593,德龙汇能
000596,古井贡酒
000598,兴蓉环境
000600,建投能源
000603,盛达资源
000607,华媒控股
000609,中迪投资
000612,焦作万方
000619,海螺新材
000622,恒立实业
000625,长安汽车
000626,远大控股
000628,高新发展
000630,铜陵有色
000632,三木集团
000633,合金投资
000636,风华高科
000638,万方发展
000650,仁和药业
000652,泰达股份
000655,金岭矿业
000656,金科股份
000657,中钨高新
000661,长春高新
000665,湖北广电
000668,荣丰控股
000670,盈方微
000672,上峰水泥
000677,恒天海龙
000679,大连友谊
000680,山推股份
000682,东方电子
000683,远兴能源
000685,中山公用
000688,国城矿业
000690,宝新能源
000691,亚太实业
000698,沈阳化工
000701,厦门信达
000703,恒逸石化
000705,浙江震元
